date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:15	842/842	---M--	200	added ('OK')	text/plain	etag:%224f669d6-34a-5071c7f6ecd80%22	http://isfap-sn.com/robots.txt		(from )
18:41:16	34752/34752	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:41:17%20GMT	http://isfap-sn.com/	http://isfap-sn.com/Isfap/isfap-sn.com/index.html	(from )
18:41:18	733/733	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2017%20Nov%202018%2017:41:19%20GMT	http://isfap-sn.com/index.php?format=feed&type=rss	http://isfap-sn.com/Isfap/isfap-sn.com/indexc0d0.php	(from http://isfap-sn.com/)
18:41:19	723/723	---MC-	200	added ('OK')	application/atom+xml	date:Sat,%2017%20Nov%202018%2017:41:20%20GMT	http://isfap-sn.com/index.php?format=feed&type=atom	http://isfap-sn.com/Isfap/isfap-sn.com/index7b17.php	(from http://isfap-sn.com/)
18:41:19	896/896	---M--	200	added ('OK')	text/css	etag:%224f67175-380-5071c80076400%22	http://isfap-sn.com/templates/system/css/system.css	http://isfap-sn.com/Isfap/isfap-sn.com/templates/system/css/system.css	(from http://isfap-sn.com/)
18:41:25	1893/1893	---M--	200	added ('OK')	text/css	etag:%224f669eb-765-5799d1e9216d5%22	http://isfap-sn.com/t3-assets/dev/plugins.system.t3.base-bs3.less.t3.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/plugins.system.t3.base-bs3.less.t3.less.css	(from http://isfap-sn.com/)
18:41:27	1186/1186	---M--	200	added ('OK')	text/css	etag:%224f66a14-4a2-5799d1e9216d5%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.core.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.core.less.css	(from http://isfap-sn.com/)
18:41:27	144180/144180	---M--	200	added ('OK')	text/css	etag:%224f66a11-23334-5799d1e758644%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bootstrap.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bootstrap.less.css	(from http://isfap-sn.com/)
18:41:27	5740/5740	---M--	200	added ('OK')	text/css	etag:%224f66a1e-166c-5799d1e921abd%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.typography.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.typography.less.css	(from http://isfap-sn.com/)
18:41:29	5627/5627	---M--	200	added ('OK')	text/css	etag:%224f66a15-15fb-5799d1e92228d%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.forms.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.forms.less.css	(from http://isfap-sn.com/)
18:41:30	1759/1759	---M--	200	added ('OK')	text/css	etag:%224f66a1a-6df-5799d1e922a5d%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.navigation.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.navigation.less.css	(from http://isfap-sn.com/)
18:41:33	4020/4020	---M--	200	added ('OK')	text/css	etag:%224f66a19-fb4-5799d1e922e45%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.navbar.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.navbar.less.css	(from http://isfap-sn.com/)
18:41:34	3570/3570	---M--	200	added ('OK')	text/css	etag:%224f66a18-df2-5799d1e92322d%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.modules.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.modules.less.css	(from http://isfap-sn.com/)
18:41:36	15300/15300	---M--	200	added ('OK')	text/css	etag:%224f66a16-3bc4-5799d1e923615%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.joomla.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.joomla.less.css	(from http://isfap-sn.com/)
18:41:36	2732/2732	---M--	200	added ('OK')	text/css	etag:%224f66a13-aac-5799d1e923de5%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.components.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.components.less.css	(from http://isfap-sn.com/)
